Year,Month,Day,Title,Summary,Story,Categories,Tags,Rebbe,Sources
1505,,,Rosh Amana by Abrabanel printed in Constantinople,Don Yitzchak Abrabanel's Rosh Amana on principles of faith was printed at the Nachmias press in Constantinople in 1505.,"Several years after his exile from Spain, Abrabanel delivered to print his Rosh Amana, devoted to the foundational tenets of Jewish belief. It was issued by the Nachmias press in Constantinople in 5265 (1505).",publication,"constantinople, abrabanel, nachmias press, philosophy",,Chabad Library/תערוכות_הספריה
1506,,,Leshon Limudim printed in Constantinople,Leshon Limudim was printed in Constantinople in 5266 (1506).,The Hebrew grammar Leshon Limudim was issued in Constantinople in 5266 (1506).,publication,"constantinople, grammar, hebrew language",,Chabad Library/תערוכות_הספריה
1507,,,Pesaro Hebrew press founded by Gershom Soncino,"In 5267 (1507), Gershom Soncino founded the Hebrew printing house in Pesaro.","In 5267 (1507), Gershom Soncino founded the Hebrew printing house in Pesaro, Italy. Over the next twenty years he printed more than fifty books there, including half the tractates of the Talmud, issued between 5269–5279 (1509–1519).",publication,"italy, pesaro, incunabula, gershom soncino",,Chabad Library/תערוכות_הספריה
1509,,,First complete Rif edition with commentaries printed in Constantinople,The first complete edition of the Rif with commentaries and the Mordechai was printed in Constantinople in 5269.,"In 5269, the first complete printed edition of Hilchot Rav Alfas (Rif) — Rabbi Yitzchak Alfasi's foundational digest of Talmudic law — was issued in Constantinople, accompanied by its commentaries and the Mordechai appended at the end. Several portions of this edition are preserved in the Chabad Library archive.",publication,"constantinople, ottoman empire, rif, mordechai",,Chabad Library/תערוכות_הספריה
1510,,,Sefer Ha-Mitzvot of Rambam printed in Constantinople,"In 5270 (1510), Rambam's Sefer Ha-Mitzvot was printed in Constantinople.","In 5270 (1510), Rambam's Sefer Ha-Mitzvot — his enumeration and explanation of the 613 commandments — was printed in Constantinople. It joined a small but growing body of pre-Shulchan Aruch halachic literature being issued by the Ottoman Sephardic presses.",publication,"constantinople, ottoman empire, rambam, sefer hamitzvot, mitzvot",,Chabad Library/תערוכות_הספריה
1510,,,Sefer HaMitzvot first printed in Constantinople,Maimonides's Sefer HaMitzvot was first printed in Constantinople in 1510.,"Maimonides composed Sefer HaMitzvot in his youth in Arabic, and it was translated into Hebrew during his lifetime by R. Avraham ibn Chasdai, R. Shlomo ibn Ayyub, and R. Moshe ibn Tibbon. The work catalogs the 613 commandments and serves as a preface to his Mishneh Torah. Its first printing appeared in Constantinople in 1510.",publication,"constantinople, rambam, incunabula, halacha, ottoman empire",,Chabad Library/תערוכות_הספריה
1511,,,Aruch HaKatzar printed in Constantinople,An abridged Aruch was printed in Constantinople in 5271 (1511).,"The Aruch HaKatzar, an abridged version of R. Natan of Rome's Talmudic dictionary, was printed in Constantinople in 5271 (1511).",publication,"constantinople, aruch, lexicography",,Chabad Library/תערוכות_הספריה
1511,,,Tractate Eruvin printed in Pesaro by Gershom Soncino,"In 5271 (1511), Gershom Soncino printed Tractate Eruvin at his Pesaro press.","In 5271 (1511), Gershom Soncino printed Tractate Eruvin as part of his Pesaro Talmud series. The tractate is part of his run of more than two dozen tractates issued there between 1509 and 1519.",publication,"italy, pesaro, talmud, gershom soncino",,Chabad Library/תערוכות_הספריה
1514,,,First printing of Ba'al HaTurim on the Torah in Constantinople,"In 5274 (1514), the commentary of the Ba'al HaTurim on the Torah was printed for the first time in Constantinople.","In 5274 (1514), the first edition of Rabbi Yaakov Ba'al HaTurim's commentary on the Torah — containing notes on masorah, gematria, and homiletics — was printed in Constantinople. Excerpts of this commentary later became a standard component of printed Chumashim.",publication,"constantinople, ottoman empire, baal haturim, torah commentary",,Chabad Library/תערוכות_הספריה
1514,,,Sefer Ha-Tania (Rabbati) printed in Mantua,"In 5274 (1514), Rabbi Yechiel ben Yekutiel's halachic compendium Sefer Ha-Tania (Tania Rabbati) was printed in Mantua.","In 5274 (1514), Rabbi Yechiel ben Yekutiel ben Binyamin Harofeh's halachic compendium Sefer Ha-Tania — later called Tania Rabbati to distinguish it from the Alter Rebbe's Tanya — was printed in Mantua. The work collects rulings and customs for the entire year.",publication,"italy, mantua, tania rabbati, halacha, minhag",,Chabad Library/תערוכות_הספריה
